"subject","day_1","day_29","day_36","day_64","delta_1_64","delta_29_36","loss_1_64","loss_29_36"
"XAA",27,23,26,35,8,3,0,0
"XBA",63,55,23,36,-27,-32,1,1
"XCA",57,71,48,64,7,-23,0,1
"XDA",53,57,42,39,-14,-15,1,1
"XEA",70,65,37,45,-25,-28,1,1
"XFA",15,68,18,26,11,-50,0,1
"XGA",47,54,37,42,-5,-17,1,1
"XHB",51,61,57,65,14,-4,0,1
"XIA",38,37,39,29,-9,2,1,0
"XJA",56,48,43,49,-7,-5,1,1
"XKA",42,32,30,41,-1,-2,1,1
"XLA",24,40,37,54,30,-3,0,1
"XMA",47,32,34,24,-23,2,1,0
"XNA",36,31,27,37,1,-4,0,1
"XOA",70,52,61,56,-14,9,1,0
"XPA",44,43,37,28,-16,-6,1,1
"XQA",44,53,49,71,27,-4,0,1
"XRA",17,24,42,38,21,18,0,0
"XSA",36,30,16,32,-4,-14,1,1
"XTA",54,62,29,61,7,-33,0,1
"XUA",44,43,48,47,3,5,0,0
"XVA",46,44,34,43,-3,-10,1,1
