filename,sample,group,round2plate,round1index,metadata
16S-A-A1-L0,ACE0043-A01-unpooled,eACE010-eAME004,A,0,XAA-002
16S-A-B1-L0,ACE0043-B01-unpooled,eACE010-eAME004,A,0,XAA-029
16S-A-C1-L0,ACE0043-C01-unpooled,eACE010-eAME004,A,0,XAA-036
16S-A-D1-L0,ACE0043-D01-unpooled,eACE010-eAME004,A,0,XAA-064
16S-A-E1-L0,ACE0043-E01-unpooled,eACE010-eAME004,A,0,XAC-002
16S-A-F1-L0,ACE0043-F01-unpooled,eACE010-eAME004,A,0,XAC-029
16S-A-G1-L0,ACE0043-G01-unpooled,eACE010-eAME004,A,0,XAC-036
16S-A-H1-L0,ACE0043-H01-unpooled,eACE010-eAME004,A,0,XAC-064
16S-A-A2-L0,ACE0043-A02-unpooled,eACE010-eAME004,A,0,XAD-002
16S-A-B2-L0,ACE0043-B02-unpooled,eACE010-eAME004,A,0,XAD-029
16S-A-C2-L0,ACE0043-C02-unpooled,eACE010-eAME004,A,0,XAD-036
16S-A-D2-L0,ACE0043-D02-unpooled,eACE010-eAME004,A,0,XAD-063
16S-A-E2-L0,ACE0043-E02-unpooled,eACE010-eAME004,A,0,XBA-022
16S-A-F2-L0,ACE0043-F02-unpooled,eACE010-eAME004,A,0,XBA-029
16S-A-G2-L0,ACE0043-G02-unpooled,eACE010-eAME004,A,0,XBA-036
16S-A-H2-L0,ACE0043-H02-unpooled,eACE010-eAME004,A,0,XBA-064
16S-A-A3-L0,ACE0043-A03-unpooled,eACE010-eAME004,A,0,XBB-022
16S-A-B3-L0,ACE0043-B03-unpooled,eACE010-eAME004,A,0,XBB-029
16S-A-C3-L0,ACE0043-C03-unpooled,eACE010-eAME004,A,0,XBB-036
16S-A-D3-L0,ACE0043-D03-unpooled,eACE010-eAME004,A,0,XBB-064
16S-A-E3-L0,ACE0043-E03-unpooled,eACE010-eAME004,A,0,XCA-001
16S-A-F3-L0,ACE0043-F03-unpooled,eACE010-eAME004,A,0,XCA-028
16S-A-G3-L0,ACE0043-G03-unpooled,eACE010-eAME004,A,0,XCA-036
16S-A-H3-L0,ACE0043-H03-unpooled,eACE010-eAME004,A,0,XCA-064
16S-A-A4-L0,ACE0043-A04-unpooled,eACE010-eAME004,A,0,XCB-001
16S-A-B4-L0,ACE0043-B04-unpooled,eACE010-eAME004,A,0,XCB-029
16S-A-C4-L0,ACE0043-C04-unpooled,eACE010-eAME004,A,0,XCB-036
16S-A-D4-L0,ACE0043-D04-unpooled,eACE010-eAME004,A,0,XCB-064
16S-A-E4-L0,ACE0043-E04-unpooled,eACE010-eAME004,A,0,XDA-001
16S-A-F4-L0,ACE0043-F04-unpooled,eACE010-eAME004,A,0,XDA-029
16S-A-G4-L0,ACE0043-G04-unpooled,eACE010-eAME004,A,0,XDA-036
16S-A-H4-L0,ACE0043-H04-unpooled,eACE010-eAME004,A,0,XDA-064
16S-A-A5-L0,ACE0043-A05-unpooled,eACE010-eAME004,A,0,XDB-001
16S-A-B5-L0,ACE0043-B05-unpooled,eACE010-eAME004,A,0,XDB-029
16S-A-C5-L0,ACE0043-C05-unpooled,eACE010-eAME004,A,0,XDB-036
16S-A-D5-L0,ACE0043-D05-unpooled,eACE010-eAME004,A,0,XDB-064
16S-A-E5-L0,ACE0043-E05-unpooled,eACE010-eAME004,A,0,XEA-001
16S-A-F5-L0,ACE0043-F05-unpooled,eACE010-eAME004,A,0,XEA-029
16S-A-G5-L0,ACE0043-G05-unpooled,eACE010-eAME004,A,0,XEA-036
16S-A-H5-L0,ACE0043-H05-unpooled,eACE010-eAME004,A,0,XEA-064
16S-A-A6-L0,ACE0043-A06-unpooled,eACE010-eAME004,A,0,XEB-001
16S-A-B6-L0,ACE0043-B06-unpooled,eACE010-eAME004,A,0,XEB-029
16S-A-C6-L0,ACE0043-C06-unpooled,eACE010-eAME004,A,0,XEB-036
16S-A-D6-L0,ACE0043-D06-unpooled,eACE010-eAME004,A,0,XEB-064
16S-A-E6-L0,ACE0043-E06-unpooled,eACE010-eAME004,A,0,XFA-001
16S-A-F6-L0,ACE0043-F06-unpooled,eACE010-eAME004,A,0,XFA-029
16S-A-G6-L0,ACE0043-G06-unpooled,eACE010-eAME004,A,0,XFA-036
16S-A-H6-L0,ACE0043-H06-unpooled,eACE010-eAME004,A,0,XFA-064
16S-A-A7-L0,ACE0043-A07-unpooled,eACE010-eAME004,A,0,XFB-001
16S-A-B7-L0,ACE0043-B07-unpooled,eACE010-eAME004,A,0,XFB-029
16S-A-C7-L0,ACE0043-C07-unpooled,eACE010-eAME004,A,0,XFB-036
16S-A-D7-L0,ACE0043-D07-unpooled,eACE010-eAME004,A,0,XFB-064
16S-A-E7-L0,ACE0043-E07-unpooled,eACE010-eAME004,A,0,XGA-001
16S-A-F7-L0,ACE0043-F07-unpooled,eACE010-eAME004,A,0,XGA-029
16S-A-G7-L0,ACE0043-G07-unpooled,eACE010-eAME004,A,0,XGA-036
16S-A-H7-L0,ACE0043-H07-unpooled,eACE010-eAME004,A,0,XGA-064
16S-A-A8-L0,ACE0043-A08-unpooled,eACE010-eAME004,A,0,XGB-001
16S-A-B8-L0,ACE0043-B08-unpooled,eACE010-eAME004,A,0,XGB-029
16S-A-C8-L0,ACE0043-C08-unpooled,eACE010-eAME004,A,0,XGB-036
16S-A-D8-L0,ACE0043-D08-unpooled,eACE010-eAME004,A,0,XGB-064
16S-A-E8-L0,ACE0043-E08-unpooled,eACE010-eAME004,A,0,XGC-001
16S-A-F8-L0,ACE0043-F08-unpooled,eACE010-eAME004,A,0,XGC-029
16S-A-G8-L0,ACE0043-G08-unpooled,eACE010-eAME004,A,0,XGC-037
16S-A-H8-L0,ACE0043-H08-unpooled,eACE010-eAME004,A,0,XGC-064
16S-A-A9-L0,ACE0043-A09-unpooled,eACE010-eAME004,A,0,XHA-003
16S-A-B9-L0,ACE0043-B09-unpooled,eACE010-eAME004,A,0,XHA-029
16S-A-C9-L0,ACE0043-C09-unpooled,eACE010-eAME004,A,0,XHA-036
16S-A-D9-L0,ACE0043-D09-unpooled,eACE010-eAME004,A,0,XHA-064
16S-A-E9-L0,ACE0043-E09-unpooled,eACE010-eAME004,A,0,XHB-001
16S-A-F9-L0,ACE0043-F09-unpooled,eACE010-eAME004,A,0,XHB-029
16S-A-G9-L0,ACE0043-G09-unpooled,eACE010-eAME004,A,0,XHB-036
16S-A-H9-L0,ACE0043-H09-unpooled,eACE010-eAME004,A,0,XHB-064
16S-A-A10-L0,ACE0043-A10-unpooled,eACE010-eAME004,A,0,XHC-001
16S-A-B10-L0,ACE0043-B10-unpooled,eACE010-eAME004,A,0,XHC-029
16S-A-C10-L0,ACE0043-C10-unpooled,eACE010-eAME004,A,0,XHC-036
16S-A-D10-L0,ACE0043-D10-unpooled,eACE010-eAME004,A,0,XHC-064
16S-A-E10-L0,ACE0043-E10-unpooled,eACE010-eAME004,A,0,XIA-002
16S-A-F10-L0,ACE0043-F10-unpooled,eACE010-eAME004,A,0,XIA-029
16S-A-G10-L0,ACE0043-G10-unpooled,eACE010-eAME004,A,0,XIA-036
16S-A-H10-L0,ACE0043-H10-unpooled,eACE010-eAME004,A,0,XIA-064
16S-A-A11-L0,ACE0043-A11-unpooled,eACE010-eAME004,A,0,XIB-002
16S-A-B11-L0,ACE0043-B11-unpooled,eACE010-eAME004,A,0,XIB-029
16S-A-C11-L0,ACE0043-C11-unpooled,eACE010-eAME004,A,0,XIB-036
16S-A-D11-L0,ACE0043-D11-unpooled,eACE010-eAME004,A,0,XIB-064
16S-A-E11-L0,ACE0043-E11-unpooled,eACE010-eAME004,A,0,XIC-008
16S-A-F11-L0,ACE0043-F11-unpooled,eACE010-eAME004,A,0,XIC-029
16S-A-G11-L0,ACE0043-G11-unpooled,eACE010-eAME004,A,0,XIC-036
16S-A-H11-L0,ACE0043-H11-unpooled,eACE010-eAME004,A,0,XIC-064
16S-A-A12-L0,ACE0043-A12-unpooled,eACE010-eAME004,A,0,XJA-001
16S-A-B12-L0,ACE0043-B12-unpooled,eACE010-eAME004,A,0,XJA-029
16S-A-C12-L0,ACE0043-C12-unpooled,eACE010-eAME004,A,0,XJA-036
16S-A-D12-L0,ACE0043-D12-unpooled,eACE010-eAME004,A,0,XJA-064
16S-A-E12-L0,ACE0043-E12-unpooled,eACE010-eAME004,A,0,XJB-001
16S-A-F12-L0,ACE0043-F12-unpooled,eACE010-eAME004,A,0,XJB-029
16S-A-G12-L0,ACE0043-G12-unpooled,eACE010-eAME004,A,0,XJB-036
16S-A-H12-L0,ACE0043-H12-unpooled,eACE010-eAME004,A,0,XJB-064
16S-A-A1-L1,ACE0049-A01-unpooled,eACE010-eAME004,A,1,XKA-001
16S-A-B1-L1,ACE0049-B01-unpooled,eACE010-eAME004,A,1,XKA-029
16S-A-C1-L1,ACE0049-C01-unpooled,eACE010-eAME004,A,1,XKA-036
16S-A-D1-L1,ACE0049-D01-unpooled,eACE010-eAME004,A,1,XKA-064
16S-A-E1-L1,ACE0049-E01-unpooled,eACE010-eAME004,A,1,XKB-001
16S-A-F1-L1,ACE0049-F01-unpooled,eACE010-eAME004,A,1,XKB-029
16S-A-G1-L1,ACE0049-G01-unpooled,eACE010-eAME004,A,1,XKB-036
