species_id	count_reads	coverage	relative_abundance	sample	kingdom	phylum	class	order	family	genus	species
Bacteroides_fragilis_54507	438	10.4269378668	0.215280370036	XAA_002	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides fragilis
Enterococcus_faecalis_56297	373	8.89925747542	0.183739029312	XAA_002	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis
Clostridiales_bacterium_56470	186	6.1761598858	0.12751643892	XAA_002	Bacteria	Firmicutes	Clostridia	Clostridiales			Clostridiales bacterium VE202-03
Bacteroides_uniformis_57318	150	4.15436870461	0.0857734114672	XAA_002	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides uniformis
Clostridium_citroniae_62210	128	2.89094412331	0.0596880434667	XAA_002	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	[Clostridium] citroniae
Bacteroides_vulgatus_57955	110	2.63227189222	0.0543473524279	XAA_002	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides vulgatus
Oscillospiraceae_bacterium_54867	94	2.44389655928	0.0504580503241	XAA_002	Bacteria	Firmicutes	Clostridia	Clostridiales	Oscillospiraceae	Oscillibacter	Oscillibacter sp. KLE 1728
Finegoldia_magna_61710	72	1.70428802589	0.0351876803667	XAA_002	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptoniphilaceae	Finegoldia	Finegoldia magna
Bacteroides_rodentium_59708	52	1.36857764046	0.0282564166608	XAA_002	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides rodentium
Bacteroides_caccae_53434	48	1.12372590574	0.0232010712921	XAA_002	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides caccae
Bacteroides_ovatus_58035	45	1.07520080321	0.0221991949827	XAA_002	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides ovatus
Clostridiales_bacterium_52957	42	0.987869674185	0.020396107824	XAA_002	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Anaerotruncus	Anaerotruncus colihominis
Coprobacillus_sp_47700	32	0.745553210733	0.0153931070788	XAA_002	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Coprobacillus	Coprobacillus sp. 29_1
Eggerthella_lenta_56463	29	0.666571455775	0.0137624057501	XAA_002	Bacteria	Actinobacteria	Coriobacteridae	Coriobacterineae	Coriobacteriaceae	Eggerthella	Eggerthella sp. HGA1
Clostridium_symbiosum_54029	26	0.59387755102	0.0122615268809	XAA_002	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	[Clostridium] symbiosum
Bifidobacterium_adolescentis_56815	21	0.446793327981	0.00922474404334	XAA_002	Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium stercoris
Clostridiales_bacterium_43336	17	0.431038181038	0.00889945449935	XAA_002	Bacteria	Firmicutes	Clostridia	Clostridiales			Clostridiales bacterium VE202-16
Dorea_longicatena_61473	16	0.369473165928	0.00762834888777	XAA_002	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	Dorea longicatena
Bacteroides_xylanisolvens_57185	15	0.34388503668	0.00710004211128	XAA_002	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides sp. D1
Finegoldia_magna_57293	9	0.222492155076	0.00459369702655	XAA_002	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptoniphilaceae	Finegoldia	Finegoldia magna
Clostridiales_bacterium_55505	9	0.200542793448	0.00414051827419	XAA_002	Bacteria	Firmicutes	Clostridia	Clostridiales			Clostridiales bacterium VE202-27
Peptoniphilus_sp_58646	5	0.122346312506	0.00252603015049	XAA_002	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptoniphilaceae	Peptoniphilus	Peptoniphilus grossensis
Subdoligranulum_sp_62068	3	0.0713061018659	0.00147222551736	XAA_002	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Subdoligranulum	Subdoligranulum sp. 4_3_54A2FAA
Gordonibacter_pamelaeae_62044	3	0.0835394339104	0.00172480170828	XAA_002	Bacteria	Actinobacteria	Coriobacteridae	Coriobacterineae	Coriobacteriaceae	Gordonibacter	Gordonibacter pamelaeae
Clostridium_hathewayi_61827	2	0.0474642392718	0.000979973135392	XAA_002	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	[Clostridium] hathewayi
Clostridium_sordellii_57678	2	0.0446704556785	0.000922291122376	XAA_002	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Peptoclostridium	[Clostridium] sordellii
Bacteroides_thetaiotaomicron_56941	1	0.0255545333742	0.000527613137352	XAA_002	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides sp. 1_1_6
Bifidobacterium_animalis_58116	1	0.0216303013129	0.000446591255276	XAA_002	Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium animalis subsp. lactis
Clostridiales_bacterium_55367	1	0.0215020890655	0.000443944113765	XAA_002	Bacteria	Firmicutes	Clostridia	Clostridiales			Clostridiales bacterium VE202-28
Bacteroides_nordii_55557	1	0.0242020714437	0.000499689454619	XAA_002							
Streptococcus_sp_62701	1	0.0233393177738	0.000481876561546	XAA_002	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus sp. F0442
Clostridium_hathewayi_55515	1	0.0204041593094	0.000421275644153	XAA_002	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	[Clostridium] hathewayi
Streptococcus_parasanguinis_62481	1	0.0245404868356	0.000506676567396	XAA_002	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus parasanguinis
Clostridium_citroniae_62210	580	13.1444123314	0.354358004443	XAA_029	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	[Clostridium] citroniae
Clostridiales_bacterium_56470	403	13.4134189864	0.361610109677	XAA_029	Bacteria	Firmicutes	Clostridia	Clostridiales			Clostridiales bacterium VE202-03
Subdoligranulum_sp_62068	106	2.5513867877	0.068782407905	XAA_029	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Subdoligranulum	Subdoligranulum sp. 4_3_54A2FAA
Streptococcus_sp_60086	52	1.23150932051	0.03320005294	XAA_029	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus sp. HSISM1
Streptococcus_parasanguinis_62481	49	1.13134624938	0.0304997735278	XAA_029	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus parasanguinis
Streptococcus_parasanguinis_62442	46	1.05946323456	0.0285618914041	XAA_029	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus parasanguinis
Streptococcus_sp_62701	39	0.89666866148	0.0241731398497	XAA_029	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus sp. F0442
Streptococcus_parasanguinis_58487	33	0.721576804687	0.019452867889	XAA_029	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus parasanguinis
Streptococcus_parasanguinis_58381	33	0.773170246619	0.0208437668249	XAA_029	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus parasanguinis
Finegoldia_magna_61710	26	0.629550970874	0.0169719588909	XAA_029	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptoniphilaceae	Finegoldia	Finegoldia magna
Bacteroides_fragilis_54507	25	0.594616474398	0.0160301656677	XAA_029	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides fragilis
Streptococcus_parasanguinis_58126	6	0.143170707373	0.0038597150546	XAA_029	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus parasanguinis
Enterococcus_avium_44557	4	0.0917718422855	0.00247406168313	XAA_029	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus avium
Bacteroides_thetaiotaomicron_56941	3	0.0716549115813	0.0019317327269	XAA_029	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides sp. 1_1_6
Bacteroides_vulgatus_57955	3	0.0721575831802	0.00194528416612	XAA_029	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides vulgatus
Enterococcus_faecalis_56297	3	0.0712422235601	0.00192060713985	XAA_029	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis
Clostridium_symbiosum_54029	2	0.0386783284742	0.00104272256133	XAA_029	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	[Clostridium] symbiosum
Clostridiales_bacterium_52957	2	0.0414035087719	0.00111619023928	XAA_029	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Anaerotruncus	Anaerotruncus colihominis
