Family subject avg_mix_log10_ratio recipient_fam_relAbundance_day_029 recipient_fam_relAbundance_day_036 recipient_ratio recipient_log10_ratio
Acidaminococcaceae XCA 0.029377867504838544 0.00868313084754593 0.00598402924635922 1.4510508705867184 0.1616826380944114
Acidaminococcaceae XDA 0.1259005126227136 0.0166564210649571 0.00786684332560451 2.117294113478124 0.3257811900877024
Acidaminococcaceae XEA 2.02108168755946 1e-4 1e-4 1e-4 1e-4
Acidaminococcaceae XFA 2.1077243149374683 0.00968760328694681 1e-4 96.87603286946809 1.9862163458846298
Acidaminococcaceae XGA 2.0091417383411203 1e-4 1e-4 1e-4 1e-4
Acidaminococcaceae XJA 2.087515925568603 1e-4 1e-4 1e-4 1e-4
Acidaminococcaceae XLA 0.10621241942969387 0.0114399078154884 0.00657802903405919 1.739108744618755 0.24032673882347053
Acidaminococcaceae XSA 2.025774840273917 1e-4 1e-4 1e-4 1e-4
Akkermansiaceae XCA -0.4104626516374784 1e-4 0.00555707509723214 0.017995078031212475 -1.7448462657962036
Akkermansiaceae XGA -0.14528044029564025 1e-4 0.00945272984956247 0.01057895460797799 -1.975557246328994
Anaerofustaceae XCA 1.5349761137915692 1e-4 1e-4 1e-4 1e-4
Anaerofustaceae XDA 1.0999492552974508 1e-4 1e-4 1e-4 1e-4
Anaerofustaceae XGA 1.0866854223093623 1e-4 1e-4 1e-4 1e-4
Anaerofustaceae XJA 1.1060645929658428 1e-4 1e-4 1e-4 1e-4
Anaerofustaceae XSA 1.2344208843432498 1e-4 1e-4 1e-4 1e-4
Anaerovoracaceae XCA 2.088909823589114 1e-4 1e-4 1e-4 1e-4
Anaerovoracaceae XDA 2.1065219318042314 0.0380111823424373 1e-4 380.111823424373 2.5799113785957415
Anaerovoracaceae XEA 2.1779352097288895 0.00556131288120308 1e-4 55.613128812030794 1.7451773293077075
Anaerovoracaceae XFA 1.9502782935382375 0.0199792571317856 1e-4 199.792571317856 2.300579336264132
Anaerovoracaceae XGA 2.221046244117665 0.00311195587358378 1e-4 31.1195587358378 1.4930334302215915
Anaerovoracaceae XJA 2.4543133305238256 1e-4 1e-4 1e-4 1e-4
Anaerovoracaceae XLA -0.45688163172963486 1e-4 0.0480876605248465 0.00207953555878084 -2.682033649066651
Anaerovoracaceae XSA 2.090410952053729 1e-4 1e-4 1e-4 1e-4
Bacteroidaceae XCA -0.1966239050137239 0.2374836286803815 0.4190221415753277 0.5667567536826429 -0.24660329595728375
Bacteroidaceae XDA -0.29376208719827634 0.19680337226661976 0.28226785911449664 0.6972220389668601 -0.15662889343465186
Bacteroidaceae XEA -0.32167676246218413 0.28166507131612434 0.2298927613941017 1.225202001176845 0.08820769748758055
Bacteroidaceae XFA -0.49309014842196786 0.199131534858276 0.30976679550093345 0.6428433833143874 -0.19189482186160411
Bacteroidaceae XGA -0.2353552911652304 0.1304226296958855 0.32768596653187526 0.3980110319530537 -0.40010489011240297
Bacteroidaceae XJA -0.35899805572593085 0.3103129386508135 0.60308014894617 0.5145467633001324 -0.2885751493363262
Bacteroidaceae XLA 0.024949807168329143 0.21365186091542981 0.20231365159128978 1.0560427298650379 0.023681491085253116
Bacteroidaceae XSA -0.3023068520281928 0.2245573030146969 0.4339351582217049 0.5174904562583673 -0.28609765520930053
Bifidobacteriaceae XCA -3.033099249882781 1e-4 0.10791933235044907 9.266180379551236e-4 -3.033099249882781
Bifidobacteriaceae XDA -1.361368031167572 1e-4 0.03021143866622498 0.0033100045682960297 -2.4801714068332275
Bifidobacteriaceae XFA 2.0101813362994805 1e-4 1e-4 1e-4 1e-4
Bifidobacteriaceae XGA -1.3015435563064195 1e-4 0.00200236643305725 0.04994090909090908 -1.3015435563064195
Butyricicoccaceae XEA -1.0253877399877258 1e-4 0.00106019985376554 0.09432183908045955 -1.0253877399877258
Butyricicoccaceae XFA 1.373674926361942 1e-4 1e-4 1e-4 1e-4
Butyricicoccaceae XGA 1.2143474012892672 1e-4 1e-4 1e-4 1e-4
Butyricicoccaceae XSA 1.2754786455276963 1e-4 1e-4 1e-4 1e-4
Campylobacteraceae XCA 2.0666888607977576 1e-4 1e-4 1e-4 1e-4
Campylobacteraceae XDA 1.750614580058913 1e-4 1e-4 1e-4 1e-4
Campylobacteraceae XEA 1.811739189220486 1e-4 1e-4 1e-4 1e-4
Campylobacteraceae XFA 1.957456782838168 1e-4 1e-4 1e-4 1e-4
Campylobacteraceae XGA 2.2798005875821676 1e-4 1e-4 1e-4 1e-4
Campylobacteraceae XJA 1.6490115551549138 1e-4 1e-4 1e-4 1e-4
Campylobacteraceae XLA 1.7959794271055691 1e-4 1e-4 1e-4 1e-4
Campylobacteraceae XSA 2.0128717595939354 1e-4 1e-4 1e-4 1e-4
Christensenellaceae XJA 1.39658660616518 1e-4 1e-4 1e-4 1e-4
Clostridiaceae XDA 1.8526041185962447 1e-4 1e-4 1e-4 1e-4
Clostridiaceae XLA -0.41485609662248757 0.00268475510519251 0.00272194304857621 0.9863377217230346 -0.005974357302329234
Clostridiaceae XSA 1.353437155410576 1e-4 1e-4 1e-4 1e-4
Coriobacteriaceae XCA 0.49458423987853284 1e-4 0.00112075464145858 0.08922559523809542 -1.0495105461152778
Coriobacteriaceae XDA -0.21160779734163296 0.0112116155850239 0.015844098487357808 0.7076209223244718 -0.15019933472820593
Coriobacteriaceae XEA 1.7415599076880652 1e-4 1e-4 1e-4 1e-4
Coriobacteriaceae XFA -0.23780137345388266 0.00157281088658666 0.0136144525991228 0.1155250918195564 -0.9373236776310637
Coriobacteriaceae XGA -1.5740413266600326 0.021541443053071 0.160241324162322 0.13443125963718228 -0.8714997319563408
Coriobacteriaceae XLA 1.1713476953535569 0.00285106736834602 1e-4 28.510673683460197 1.455007479447398
Coriobacteriaceae XSA 1.836408688075064 1e-4 1e-4 1e-4 1e-4
Coriobacteriales_Incertae_Sedis XJA 1.0068372185956809 1e-4 1e-4 1e-4 1e-4
Coriobacteriales_Incertae_Sedis XSA 1.2940977220421097 1e-4 1e-4 1e-4 1e-4
Desulfovibrionaceae XCA 1.3818447145578203 0.00696821250515561 1e-4 69.6821250515561 1.8431213866048295
Desulfovibrionaceae XDA 1.664469860053907 0.00143438423933726 1e-4 14.343842393372599 1.1566655046589345
Desulfovibrionaceae XEA 1.6123947374668408 1e-4 1e-4 1e-4 1e-4
Desulfovibrionaceae XFA 1.6636855729109985 0.00715742925200305 1e-4 71.5742925200305 1.854757063907533
Desulfovibrionaceae XGA 1.2935770462391276 1e-4 1e-4 1e-4 1e-4
Desulfovibrionaceae XJA 1.584650087142155 0.00939641648088515 1e-4 93.9641648088515 1.9729622579290758
Desulfovibrionaceae XLA 1.307224053509726 0.00291046460518657 1e-4 29.104646051865696 1.4639623221003255
Desulfovibrionaceae XSA 1.6225280566532372 1e-4 1e-4 1e-4 1e-4
Eggerthellaceae XCA -0.7301148472001948 0.00531841764412188 0.021227626601912 0.2505422647505418 -0.6011190011354899
Eggerthellaceae XDA -0.7345258753274697 0.00123679049208161 0.042770785028155 0.02891671245378031 -1.5388510835884495
Eggerthellaceae XEA -0.21702533115809897 0.00333045906541465 0.00826224713624178 0.40309361490844536 -0.3945940811126175
Eggerthellaceae XFA 2.1005701583740075 0.0055846183654164 1e-4 55.846183654163994 1.746993500198851
Eggerthellaceae XGA -0.3616255355408998 0.00685748360166965 0.007853437179003761 0.8731824607960446 -0.05889499634356225
Eggerthellaceae XJA -0.23792836269457804 0.00516885476013541 0.00351397274140486 1.4709433283961504 0.1675959408179804
Eggerthellaceae XLA 1.1703871526418927 1e-4 1e-4 1e-4 1e-4
Eggerthellaceae XSA 1.8560729415542174 0.00374361209048053 1e-4 37.4361209048053 1.5732908412167954
Enterobacteriaceae XCA 3.134587400420816 0.152757979435452 1e-4 1527.57979435452 3.184003905227353
Enterobacteriaceae XDA 3.2232226050431607 0.107732501975937 1e-4 1077.32501975937 3.032346746003033
Enterobacteriaceae XEA 3.281908482995723 1e-4 1e-4 1e-4 1e-4
Enterobacteriaceae XFA 1.9745778248263115 0.111008536488073 0.00196508446606158 56.49046562896921 1.7519751544718296
Enterobacteriaceae XGA 3.1174591085427834 0.157945736434109 1e-4 1579.45736434109 3.1985079071127664
Enterobacteriaceae XJA 3.1088764551794634 1e-4 1e-4 1e-4 1e-4
Enterobacteriaceae XLA 3.054956663261624 0.101201012128916 1e-4 1012.0101212891599 3.0051848559801155
Enterobacteriaceae XSA -0.3288692964993499 0.16597340516843 0.336090079596195 0.49383607325703716 -0.3064171893245624
Enterococcaceae XCA 3.158328937805093 0.179588853754369 1e-4 1795.88853754369 3.254279378527333
Enterococcaceae XDA 3.317900786614291 1e-4 1e-4 1e-4 1e-4
Enterococcaceae XEA 3.1946036763185637 0.05929957518847555 1e-4 592.9957518847555 2.773051582167606
Enterococcaceae XFA -0.3894479405402193 0.11707183642766779 0.5808290267946323 0.2015598928892059 -0.695595881104318
Enterococcaceae XGA 3.1707014179377424 1e-4 1e-4 1e-4 1e-4
Enterococcaceae XJA 0.23843799988282707 0.0511270745603171 0.0687466107515997 0.7437032022575367 -0.12860034851146232
