species_id	count_reads	coverage	relative_abundance	XCA_036
Bacteroides_massiliensis_44749	282	7.0249072602	0.182994496228	XCA_036
Bacteroides_vulgatus_57955	196	4.680955297	0.121935994983	XCA_036
Bacteroides_xylanisolvens_57185	172	4.05245703949	0.105564003475	XCA_036
Alistipes_onderdonkii_55464	166	3.94335177218	0.102721878634	XCA_036
Clostridiales_bacterium_56470	133	4.45824411135	0.116134506122	XCA_036
Bacteroides_uniformis_57318	84	2.32208948231	0.0604889971174	XCA_036
Oscillibacter_sp_60799	80	1.91348677569	0.0498451489232	XCA_036
Bacteroides_caccae_53434	56	1.31436068221	0.03423828415	XCA_036
Bacteroides_stercoris_56735	53	1.27312820513	0.0331642035833	XCA_036
Eggerthella_lenta_56463	45	1.01942302199	0.0265553402263	XCA_036
Clostridium_hathewayi_55515	43	0.982440651364	0.0255919723081	XCA_036
Dorea_formicigenerans_56346	27	0.627398615232	0.0163433465064	XCA_036
Parabacteroides_merdae_56972	25	0.604803713796	0.0157547632763	XCA_036
Clostridiales_bacterium_59663	23	0.566057225493	0.0147454411821	XCA_036
Phascolarctobacterium_sp_59817	19	0.44750345372	0.0116571886347	XCA_036
Pediococcus_pentosaceus_55856	19	0.438848920863	0.011431743398	XCA_036
Anaerostipes_hadrus_55206	18	0.431809184481	0.0112483626123	XCA_036
Eubacterium_ventriosum_61474	14	0.320062911629	0.00833744120816	XCA_036
Lachnospiraceae_bacterium_51870	12	0.269612174767	0.00702323066638	XCA_036
Bacteroides_rodentium_59708	11	0.278063851699	0.00724339163154	XCA_036
Alistipes_finegoldii_56071	10	0.238795518207	0.00622047579238	XCA_036
Bacteroides_ovatus_58035	8	0.187048192771	0.00487248991889	XCA_036
Dorea_longicatena_59913	8	0.181353767561	0.00472415365848	XCA_036
Roseburia_inulinivorans_61943	6	0.141532454856	0.0036868330523	XCA_036
Coprococcus_comes_61587	6	0.140282755874	0.00365427916552	XCA_036
Bifidobacterium_pseudocatenulatum_57754	4	0.0828635346756	0.00215854390983	XCA_036
Bifidobacterium_longum_57796	3	0.0639124293785	0.0016648793192	XCA_036
Coprococcus_catus_62200	3	0.0701650360708	0.00182775586253	XCA_036
Bacteroides_acidifaciens_59693	2	0.0516714120004	0.00134600837537	XCA_036
Paraprevotella_clara_33712	2	0.0516021639617	0.00134420450672	XCA_036
Finegoldia_magna_57293	1	0.0233829334953	0.000609110978524	XCA_036
Blautia_wexlerae_56130	1	0.0245386729486	0.000639217277609	XCA_036
Erysipelotrichaceae_bacterium_62051	1	0.0242974238876	0.000632932888543	XCA_036
Collinsella_aerofaciens_61484	1	0.0240084509747	0.000625405322605	XCA_036
Bacteroides_eggerthii_54457	1	0.0234642497482	0.0006112292167	XCA_036
Enterococcus_faecium_56947	1	0.0228310502283	0.000594734760208	XCA_036
Escherichia_coli_58110	1	0.0243118344384	0.000633308274493	XCA_036
Clostridiaceae_bacterium_58376	1	0.0242388985844	0.000631408340535	XCA_036
Pseudoflavonifractor_capillosus_61476	1	0.0193207847824	0.000503294512941	XCA_036
Yaniella_halotolerans_59132	0	0.0	0.0	XCA_036
Thermodesulfovibrio_thiophilus_59110	0	0.0	0.0	XCA_036
Bradyrhizobium_sp_59283	0	0.0	0.0	XCA_036
Rhodopseudomonas_palustris_61217	0	0.0	0.0	XCA_036
Porphyromonas_sp_60792	0	0.0	0.0	XCA_036
Mesorhizobium_sp_61369	0	0.0	0.0	XCA_036
Haemophilus_influenzae_58001	0	0.0	0.0	XCA_036
Arcobacter_sp_55051	0	0.0	0.0	XCA_036
Rhizobium_leguminosarum_57834	0	0.0	0.0	XCA_036
Halomonas_sp_60361	0	0.0	0.0	XCA_036
Coprothermobacter_proteolyticus_61171	0	0.0	0.0	XCA_036
Streptococcus_sobrinus_56802	0	0.0	0.0	XCA_036
Magnetospirillum_magneticum_61293	0	0.0	0.0	XCA_036
Actinobacillus_pleuropneumoniae_57270	0	0.0	0.0	XCA_036
Cronobacter_malonaticus_56861	0	0.0	0.0	XCA_036
Selenomonas_ruminantium_59914	0	0.0	0.0	XCA_036
Anaerosalibacter_sp_60200	0	0.0	0.0	XCA_036
Bacillus_vireti_59178	0	0.0	0.0	XCA_036
Polaromonas_naphthalenivorans_61338	0	0.0	0.0	XCA_036
Atopobium_rimae_61781	0	0.0	0.0	XCA_036
Bradyrhizobium_japonicum_58400	0	0.0	0.0	XCA_036
Caminibacter_mediatlanticus_61405	0	0.0	0.0	XCA_036
Exiguobacterium_sp_60679	0	0.0	0.0	XCA_036
Lactococcus_chungangensis_58904	0	0.0	0.0	XCA_036
Nocardia_sp_59340	0	0.0	0.0	XCA_036
Deinococcus_radiodurans_45653	0	0.0	0.0	XCA_036
Mesorhizobium_sp_60010	0	0.0	0.0	XCA_036
Aquimarina_muelleri_58703	0	0.0	0.0	XCA_036
Salmonella_bongori_55351	0	0.0	0.0	XCA_036
Caulobacter_segnis_61668	0	0.0	0.0	XCA_036
Methylotenera_versatilis_62070	0	0.0	0.0	XCA_036
Bifidobacterium_thermacidophilum_58040	0	0.0	0.0	XCA_036
Exiguobacterium_sp_57070	0	0.0	0.0	XCA_036
Peptostreptococcaceae_bacterium_60690	0	0.0	0.0	XCA_036
Gardnerella_vaginalis_58140	0	0.0	0.0	XCA_036
Orbaceae_bacterium_60326	0	0.0	0.0	XCA_036
Bacillus_endophyticus_54286	0	0.0	0.0	XCA_036
Acetobacter_nitrogenifigens_58657	0	0.0	0.0	XCA_036
Pseudomonas_chloritidismutans_57851	0	0.0	0.0	XCA_036
Pseudomonas_tuomuerensis_55970	0	0.0	0.0	XCA_036
Flavobacterium_sp_60019	0	0.0	0.0	XCA_036
Gamma_proteobacterium_62246	0	0.0	0.0	XCA_036
Mycobacterium_avium_58507	0	0.0	0.0	XCA_036
Hippea_maritima_62267	0	0.0	0.0	XCA_036
Aggregatibacter_aphrophilus_58143	0	0.0	0.0	XCA_036
Reinekea_blandensis_61207	0	0.0	0.0	XCA_036
Burkholderia_phytofirmans_61447	0	0.0	0.0	XCA_036
Tolumonas_auensis_61915	0	0.0	0.0	XCA_036
Eubacterium_limosum_62476	0	0.0	0.0	XCA_036
Vibrio_fortis_61007	0	0.0	0.0	XCA_036
Streptomyces_ruber_33758	0	0.0	0.0	XCA_036
Methyloversatilis_universalis_62706	0	0.0	0.0	XCA_036
Hippea_alviniae_62608	0	0.0	0.0	XCA_036
Bartonella_bovis_58544	0	0.0	0.0	XCA_036
Comamonas_testosteroni_58338	0	0.0	0.0	XCA_036
Basilea_psittacipulmonis_58484	0	0.0	0.0	XCA_036
Methylophilaceae_bacterium_57038	0	0.0	0.0	XCA_036
Hymenobacter_sp_60321	0	0.0	0.0	XCA_036
Acholeplasma_modicum_60413	0	0.0	0.0	XCA_036
Flavobacteria_bacterium_60885	0	0.0	0.0	XCA_036
Ruegeria_pomeroyi_61060	0	0.0	0.0	XCA_036
Rhodopirellula_europaea_57936	0	0.0	0.0	XCA_036
Methylacidiphilum_infernorum_61616	0	0.0	0.0	XCA_036
Erwinia_tracheiphila_58427	0	0.0	0.0	XCA_036
Teredinibacter_turnerae_56939	0	0.0	0.0	XCA_036
Porphyromonadaceae_bacterium_52280	0	0.0	0.0	XCA_036
Bacillus_subtilis_55718	0	0.0	0.0	XCA_036
Burkholderia_nodosa_58740	0	0.0	0.0	XCA_036
Peptoniphilus_rhinitidis_62391	0	0.0	0.0	XCA_036
Paenibacillus_sp_59613	0	0.0	0.0	XCA_036
Nitratireductor_indicus_59646	0	0.0	0.0	XCA_036
Sphingobacterium_sp_60842	0	0.0	0.0	XCA_036
Streptococcus_parasanguinis_62442	0	0.0	0.0	XCA_036
Flavobacterium_antarcticum_58606	0	0.0	0.0	XCA_036
Clostridium_ultunense_52043	0	0.0	0.0	XCA_036
Sphingopyxis_alaskensis_61226	0	0.0	0.0	XCA_036
Mariprofundus_ferrooxydans_56677	0	0.0	0.0	XCA_036
Fluoribacter_dumoffii_52104	0	0.0	0.0	XCA_036
Lactobacillus_otakiensis_59976	0	0.0	0.0	XCA_036
Frankia_sp_61340	0	0.0	0.0	XCA_036
Paracoccus_versutus_61288	0	0.0	0.0	XCA_036
Actinoplanes_sp_60193	0	0.0	0.0	XCA_036
Necropsobacter_rosorum_62489	0	0.0	0.0	XCA_036
Comamonadaceae_bacterium_60823	0	0.0	0.0	XCA_036
Dickeya_sp_60896	0	0.0	0.0	XCA_036
Caulobacter_sp_61342	0	0.0	0.0	XCA_036
Geomicrobium_sp_58004	0	0.0	0.0	XCA_036
Vibrio_fischeri_58199	0	0.0	0.0	XCA_036
Serratia_odorifera_62077	0	0.0	0.0	XCA_036
Streptomyces_virginiae_57925	0	0.0	0.0	XCA_036
Fischerella_thermalis_62650	0	0.0	0.0	XCA_036
Pseudomonas_sp_60708	0	0.0	0.0	XCA_036
Staphylococcus_equorum_54689	0	0.0	0.0	XCA_036
Clostridium_celatum_61754	0	0.0	0.0	XCA_036
Pseudomonas_cremoricolorata_59982	0	0.0	0.0	XCA_036
Sphingobacterium_sp_59627	0	0.0	0.0	XCA_036
Aminomonas_paucivorans_61873	0	0.0	0.0	XCA_036
Kocuria_palustris_56547	0	0.0	0.0	XCA_036
Gordonia_namibiensis_59487	0	0.0	0.0	XCA_036
Alkalibacterium_sp_59634	0	0.0	0.0	XCA_036
Ruegeria_sp_60901	0	0.0	0.0	XCA_036
Ruegeria_sp_60900	0	0.0	0.0	XCA_036
Streptococcus_suis_58133	0	0.0	0.0	XCA_036
Enterococcus_gilvus_44054	0	0.0	0.0	XCA_036
Campylobacter_concisus_59746	0	0.0	0.0	XCA_036
Helicobacter_pylori_51394	0	0.0	0.0	XCA_036
Campylobacter_concisus_59748	0	0.0	0.0	XCA_036
Campylobacter_concisus_59749	0	0.0	0.0	XCA_036
Carnobacterium_inhibens_56670	0	0.0	0.0	XCA_036
Geitlerinema_sp_58340	0	0.0	0.0	XCA_036
Chryseobacterium_sp_44548	0	0.0	0.0	XCA_036
Halomonas_hydrothermalis_59263	0	0.0	0.0	XCA_036
Lactobacillus_hayakitensis_59721	0	0.0	0.0	XCA_036
Pseudomonas_caeni_61697	0	0.0	0.0	XCA_036
Lachnospiraceae_bacterium_59690	0	0.0	0.0	XCA_036
Salegentibacter_sp_59799	0	0.0	0.0	XCA_036
Corynebacterium_humireducens_59600	0	0.0	0.0	XCA_036
Vibrio_cholerae_57327	0	0.0	0.0	XCA_036
Bacteroides_thetaiotaomicron_56941	0	0.0	0.0	XCA_036
Acinetobacter_sp_59499	0	0.0	0.0	XCA_036
Parachlamydiaceae_bacterium_60084	0	0.0	0.0	XCA_036
Microbacterium_yannicii_59416	0	0.0	0.0	XCA_036
Fischerella_sp_59348	0	0.0	0.0	XCA_036
Fischerella_sp_59349	0	0.0	0.0	XCA_036
Streptomyces_sp_59965	0	0.0	0.0	XCA_036
Streptomyces_sp_59964	0	0.0	0.0	XCA_036
Thioalkalivibrio_sp_56293	0	0.0	0.0	XCA_036
Lactobacillus_crispatus_56887	0	0.0	0.0	XCA_036
Ensifer_adhaerens_60480	0	0.0	0.0	XCA_036
Cronobacter_sp_60724	0	0.0	0.0	XCA_036
Cyanobacterium_aponinum_62256	0	0.0	0.0	XCA_036
Oceanimonas_smirnovii_59890	0	0.0	0.0	XCA_036
Staphylococcus_chromogenes_59592	0	0.0	0.0	XCA_036
Streptacidiphilus_melanogenes_61471	0	0.0	0.0	XCA_036
Novosphingobium_nitrogenifigens_62646	0	0.0	0.0	XCA_036
Geminocystis_herdmanii_59185	0	0.0	0.0	XCA_036
Polycyclovorans_algicola_60477	0	0.0	0.0	XCA_036
Bifidobacterium_merycicum_38038	0	0.0	0.0	XCA_036
Microvirga_aerilata_62082	0	0.0	0.0	XCA_036
Comamonas_testosteroni_61121	0	0.0	0.0	XCA_036
Comamonadaceae_bacterium_60618	0	0.0	0.0	XCA_036
Azospirillum_brasilense_58073	0	0.0	0.0	XCA_036
Kocuria_rhizophila_61365	0	0.0	0.0	XCA_036
Clostridium_sulfidigenes_61231	0	0.0	0.0	XCA_036
Saccharopolyspora_erythraea_48523	0	0.0	0.0	XCA_036
Thalassobacter_stenotrophicus_43368	0	0.0	0.0	XCA_036
Clostridium_sp_60707	0	0.0	0.0	XCA_036
Deinococcus_apachensis_58784	0	0.0	0.0	XCA_036
Acetobacter_tropicalis_62242	0	0.0	0.0	XCA_036
Alicyclobacillus_herbarius_58690	0	0.0	0.0	XCA_036
Clostridium_josui_59974	0	0.0	0.0	XCA_036
Borrelia_hispanica_60483	0	0.0	0.0	XCA_036
Aestuariibacter_salexigens_58677	0	0.0	0.0	XCA_036
Gordonia_terrae_46644	0	0.0	0.0	XCA_036
Ochrobactrum_intermedium_57339	0	0.0	0.0	XCA_036
Flavobacterium_saliperosum_60176	0	0.0	0.0	XCA_036
Marinobacterium_jannaschii_58925	0	0.0	0.0	XCA_036
Xanthobacter_autotrophicus_62311	0	0.0	0.0	XCA_036
Accumulibacter_sp_60601	0	0.0	0.0	XCA_036
Accumulibacter_sp_60602	0	0.0	0.0	XCA_036
Accumulibacter_sp_60603	0	0.0	0.0	XCA_036
Accumulibacter_sp_60604	0	0.0	0.0	XCA_036
Mollicutes_bacterium_60853	0	0.0	0.0	XCA_036
Accumulibacter_sp_60606	0	0.0	0.0	XCA_036
Pseudomonas_syringae_58106	0	0.0	0.0	XCA_036
WWE1_bacterium_45113	0	0.0	0.0	XCA_036
Fibrobacter_succinogenes_47270	0	0.0	0.0	XCA_036
Streptomyces_wedmorensis_56899	0	0.0	0.0	XCA_036
Campylobacter_coli_58237	0	0.0	0.0	XCA_036
Nitrospira_defluvii_61267	0	0.0	0.0	XCA_036
Rhodococcus_ruber_58245	0	0.0	0.0	XCA_036
Sulfurimonas_sp_59343	0	0.0	0.0	XCA_036
Leptospira_borgpetersenii_56569	0	0.0	0.0	XCA_036
Cyanothece_sp_62039	0	0.0	0.0	XCA_036
Actinosporangium_sp_60634	0	0.0	0.0	XCA_036
